reporting_date,year,month_num,listing_id,listing_host_id,local_authority,national_park,kd_listing_type_detail,accommodation_type,space_type,beds,bedrooms,max_guests_num,max_guests,min_stay,checkins,booked_nights,available_nights,blocked_nights,revenue_gpd,adr_gpd
2024-12-01,2024,12,vrbo_10069778ha,,Argyll and Bute,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,4 - 6 nights,0,0,21,10,0.0,0.0
2025-06-01,2025,6,vrbo_10078174ha,,Stirling,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,1,5,16,14,3398.94,679.79
2024-10-01,2024,10,vrbo_10078174ha,,Stirling,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,2,6,31,0,4157.91,692.99
2024-02-01,2024,2,vrbo_10078174ha,,Stirling,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,1,7,14,15,5396.13,770.88
2024-04-01,2024,4,vrbo_10078174ha,,Stirling,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,0,0,30,0,0.0,0.0
2024-05-01,2024,5,vrbo_10078174ha,,Stirling,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,4,13,31,0,8755.11,673.47
2025-01-01,2025,1,vrbo_10085305ha,,West Lothian,None,unique,Self-catering accommodation,entire,1 bed,1 bedroom,0,1 guest,3 nights,0,0,0,31,0.0,0.0
2023-11-01,2023,11,vrbo_10085305ha,,West Lothian,None,unique,Self-catering accommodation,entire,1 bed,1 bedroom,0,1 guest,3 nights,0,0,0,30,0.0,0.0
2024-04-01,2024,4,vrbo_10230289ha,,Moray,None,unique,Self-catering accommodation,entire,1 bed,1 bedroom,0,1 guest,4 - 6 nights,1,15,17,13,1678.39,111.89
2024-07-01,2024,7,vrbo_1028634ha,,Fife,None,unique,Self-catering accommodation,entire,3 - 4 beds,3 - 4 bedrooms,0,1 guest,7 - 13 nights,2,17,31,0,2497.08,146.89
2024-05-01,2024,5,vrbo_10321194ha,,West Dunbartonshire,None,unique,Self-catering accommodation,entire,3 - 4 beds,3 - 4 bedrooms,0,1 guest,1 night,0,0,0,31,0.0,0.0
2024-06-01,2024,6,vrbo_10321194ha,,West Dunbartonshire,None,unique,Self-catering accommodation,entire,3 - 4 beds,3 - 4 bedrooms,0,1 guest,1 night,0,0,0,30,0.0,0.0
2024-09-01,2024,9,vrbo_10365237ha,,City of Edinburgh,None,B&B/Guesthouse,B&B/Guesthouse,entire,1 bed,1 bedroom,0,1 guest,2 nights,0,0,0,30,0.0,0.0
2024-11-01,2024,11,vrbo_10365237ha,,City of Edinburgh,None,B&B/Guesthouse,B&B/Guesthouse,entire,1 bed,1 bedroom,0,1 guest,2 nights,0,0,0,30,0.0,0.0
2023-12-01,2023,12,vrbo_10365237ha,,City of Edinburgh,None,B&B/Guesthouse,B&B/Guesthouse,entire,1 bed,1 bedroom,0,1 guest,2 nights,0,0,0,31,0.0,0.0
2025-03-01,2025,3,vrbo_10365237ha,,City of Edinburgh,None,B&B/Guesthouse,B&B/Guesthouse,entire,1 bed,1 bedroom,0,1 guest,2 nights,0,0,0,31,0.0,0.0
2025-05-01,2025,5,vrbo_10376772ha,,Argyll and Bute,Loch Lomond and The Trossachs,unique,Self-catering accommodation,entire,1 bed,1 bedroom,0,1 guest,1 night,0,0,0,6,0.0,0.0
2024-08-01,2024,8,vrbo_10428086ha,,Dumfries and Galloway,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,2,15,15,16,19037.12,1269.14
2024-06-01,2024,6,vrbo_10428086ha,,Dumfries and Galloway,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,3,15,23,7,22241.24,1482.75
2025-04-01,2025,4,vrbo_10428086ha,,Dumfries and Galloway,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,1,7,23,7,9835.5,1405.07
2024-03-01,2024,3,vrbo_10428086ha,,Dumfries and Galloway,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,2,7,25,6,10026.74,1432.39
2025-03-01,2025,3,vrbo_10428086ha,,Dumfries and Galloway,None,unique,Self-catering accommodation,entire,5 - 10 beds,5 - 10 bedrooms,0,1 guest,3 nights,0,0,24,7,0.0,0.0
2024-11-01,2024,11,vrbo_10435451ha,,Fife,None,unique,Self-catering accommodation,entire,1 bed,1 bedroom,0,1 guest,2 nights,0,0,0,11,0.0,0.0
2024-07-01,2024,7,vrbo_10480085ha,,Highland,None,unique,Self-catering accommodation,entire,3 - 4 beds,3 - 4 bedrooms,0,1 guest,4 - 6 nights,3,18,31,0,2069.5,114.97
