,,,,,y,,,,,x
1 SL,34,35,53.2,31.92,34.5922,32,56,17.5,10.5,32.93625
2 SL,34,35,51.8,31.08,34.59196667,32,56,20.6,12.36,32.93676667
3 SL,34,35,50,30,34.59166667,32,56,23.4,14.04,32.93723333
4 SL,34,35,47.4,28.44,34.59123333,32,56,25.6,15.36,32.9376
5 SL,34,35,44.4,26.64,34.59073333,32,56,27.1,16.26,32.93785
6 SL,34,35,41.4,24.84,34.59023333,32,56,27.9,16.74,32.93798333
7 SL,34,35,38.7,23.22,34.58978333,32,56,28.8,17.28,32.93813333
8 SL,34,35,35.8,21.48,34.5893,32,56,29.1,17.46,32.93818333
9 SL,34,35,33.1,19.86,34.58885,32,56,28.9,17.34,32.93815
10 SL,34,35,30.3,18.18,34.58838333,32,56,28,16.8,32.938
