,,,,,y,,,,,x
1 TNL SUR,34,35,53.6,32.16,34.59226667,32,56,17.7,10.62,32.93628333
2 TNL SUR,34,35,52.2,31.32,34.59203333,32,56,21.3,12.78,32.93688333
3 TNL SUR,34,35,50.1,30.06,34.59168333,32,56,24.2,14.52,32.93736667
4 TNL SUR,34,35,47.7,28.62,34.59128333,32,56,26.3,15.78,32.93771667
5 TNL SUR,34,35,44.9,26.94,34.59081667,32,56,28,16.8,32.938
6 TNL SUR,34,35,41.8,25.08,34.5903,32,56,29.3,17.58,32.93821667
7 TNL SUR,34,35,38.9,23.34,34.58981667,32,56,30.2,18.12,32.93836667
8 TNL SUR,34,35,36,21.6,34.58933333,32,56,30.4,18.24,32.9384
9 TNL SUR,34,35,33.2,19.92,34.58886667,32,56,29.9,17.94,32.93831667
10 TNL SUR,34,35,30,18,34.58833333,32,56,29,17.4,32.93816667
