survey_year,survey_quarter,month_start_date,region,main_activity,region_of_residence,country_of_residence,age_group,LifeStage,transport_type,place_visits,place_spend,sample
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Visited friends or relatives,North West,England,25-34,Younger Independents,"Train, underground train, tram",107675.4547,2909806.516,1
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside",Visited friends or relatives,North of Scotland,Scotland,25-34,Families,Private motor vehicle,55720.96258,418276.5404,1
2022,QTR 1,01/01/2022,"Aberdeen, Aberdeenshire & Moray Speyside","Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",North of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,71866.44224,2481583.393,1
2022,QTR 1,01/01/2022,Argyll & the Isles,Visited friends or relatives,East of Scotland,Scotland,35-44,Older Independents,Private motor vehicle,74510.19381,969488.5381,1
2022,QTR 1,01/01/2022,Argyll & the Isles,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,56244.48117,2392502.931,1
2022,QTR 1,01/01/2022,Ayrshire & Arran,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",West of Scotland,Scotland,35-44,Families,Private motor vehicle,28991.22922,580336.9981,1
2022,QTR 1,01/01/2022,Ayrshire & Arran,Visited friends or relatives,West of Scotland,Scotland,45-54,Older Independents,"Train, underground train, tram",71572.07187,573082.5833,1
2022,QTR 1,01/01/2022,Dumfries & Galloway,Took part in hobbies and interests,West of Scotland,Scotland,45-54,Families,Bus/Coach/taxi,58463.89386,824537.4462,1
2022,QTR 1,01/01/2022,Dundee & Angus,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",East of Scotland,Scotland,16-24,Younger Independents,Bus/Coach/taxi,75001.28227,0,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,West of Scotland,Scotland,16-24,Younger Independents,"Train, underground train, tram",27954.53381,1594816.584,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,27629.31799,345671.6888,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,West of Scotland,Scotland,25-34,Families,Private motor vehicle,69622.97735,348422.5295,1
2022,QTR 1,01/01/2022,Dundee & Angus,Visited friends or relatives,East of Scotland,Scotland,45-54,Families,Private motor vehicle,86897.02853,2609214.685,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended a special event or celebration of personal nature (e.g. wedding, birthday, anniversary etc.)",London,England,25-34,Families,Bus/Coach/taxi,130859.7617,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",West of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,54303.61507,1630548.159,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Attended an organised public event (e.g. exhibition, concert, fair, live sport etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,52013.25949,1475011.393,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",North East,England,16-24,Younger Independents,Private motor vehicle,108108.5692,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,25-34,Younger Independents,Private motor vehicle,27860.48129,306736.1296,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Food and drink, a night out or speciality shopping (i.e. shopping for items that you do not buy regularly. e.g. clothes, electronics, jewellery, souvenirs etc.)",East of Scotland,Scotland,16-24,Younger Independents,Private motor vehicle,28497.60911,3993191.099,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East Midlands,England,45-54,Older Independents,Private motor vehicle,217417.9114,0,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,32981.70943,891293.1297,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Older Independents,Bus/Coach/taxi,32981.70943,118839.084,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,South East Wales,Wales,16-24,Families,Private motor vehicle,33419.63901,167245.8663,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,Visited friends or relatives,East of Scotland,Scotland,45-54,Families,Private motor vehicle,130345.5428,1739476.457,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Families,Private motor vehicle,51081.75881,1035319.761,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,16-24,Younger Independents,"Walk, Bicycle",100001.7097,2702432.298,1
2022,QTR 1,01/01/2022,Edinburgh & the Lothians,"Went to a visitor attraction e.g. a historic house, theme park, museum, etc.",East of Scotland,Scotland,45-54,Older Independents,Private motor vehicle,32981.70943,891293.1297,1
